Learner SignUp DateTime,Opportunity Name,Opportunity Category,Opportunity End Date,Gender,Country,Institution Name,Current/Intended Major,Status Description,Opportunity Start Date,Age,Engagement Duration,Month of SignUp,Day of Week of SignUp,Day of Month of SignUp,Year of Signup,Year of Birth,Season
14/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Pakistan,Other,Other,Started,3/11/2022,24,604,June,Wednesday,14,2023,2001,Summer
1/5/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Saint Louis University,Information Systems,Started,3/11/2022,24,604,May,Monday,1,2023,2000,Spring
9/4/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Illinois Institute Of Technology,Computer Science,Started,3/11/2022,23,604,April,Sunday,9,2023,2002,Spring
29/8/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Saint Louis University,Information Systems,Team Allocated,3/11/2022,25,604,August,Tuesday,29,2023,1999,Summer
6/1/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Saint Louis University,Computer Science,Started,3/11/2022,24,604,January,Friday,6,2023,2000,Winter
2/3/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Saint Louis University,Mechanical Engineering,Waitlisted,2/3/2024,28,0,March,Saturday,2,2024,1996,Spring
31/5/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Illinois Institute Of Technology,Computer Science And Engineering,Withdraw,3/11/2022,23,604,May,Wednesday,31,2023,2001,Spring
22/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United Arab Emirates,Other,Artificial Intelligence,Team Allocated,3/11/2022,18,604,July,Saturday,22,2023,2006,Summer
20/3/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Other,Started,3/11/2022,19,604,March,Monday,20,2023,2005,Spring
11/5/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Illinois Institute Of Technology,Computer Science,Team Allocated,3/11/2022,26,604,May,Thursday,11,2023,1998,Spring
4/9/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Nigeria,Other,Data Visualization,Team Allocated,3/11/2022,26,604,September,Monday,4,2023,1998,Fall
28/1/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Nigeria,Other,Business Administration,Started,3/11/2022,27,604,January,Saturday,28,2023,1997,Winter
18/8/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Saint Louis University,Public Health,Team Allocated,3/11/2022,26,604,August,Friday,18,2023,1998,Summer
14/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Egypt,Other,Architecture,Started,3/11/2022,27,604,June,Wednesday,14,2023,1997,Summer
5/1/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Nepal,Other,Computer Science And Information Systems,Started,3/11/2022,26,604,January,Thursday,5,2023,1998,Winter
16/3/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Other,Computer Science And Information Systems,Started,3/11/2022,20,604,March,Thursday,16,2023,2004,Spring
31/10/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Saint Louis University,Biology,Team Allocated,3/11/2022,18,604,October,Tuesday,31,2023,2006,Fall
8/8/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Saint Louis University,Information Systems,Team Allocated,3/11/2022,25,604,August,Tuesday,8,2023,1999,Summer
15/8/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Nigeria,Other,Economics,Team Allocated,3/11/2022,23,604,August,Tuesday,15,2023,2001,Summer
29/3/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Kenya,Other,Other,Started,3/11/2022,30,604,March,Wednesday,29,2023,1994,Spring
8/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Nigeria,Other,Mathematics,Team Allocated,3/11/2022,30,604,July,Saturday,8,2023,1994,Summer
16/10/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Saint Louis University,Bioinformatics,Team Allocated,3/11/2022,23,604,October,Monday,16,2023,2001,Fall
5/5/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Other,Started,3/11/2022,27,604,May,Friday,5,2023,1997,Spring
9/5/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Other,Biomedical Engineering,Started,3/11/2022,19,604,May,Tuesday,9,2023,2005,Spring
5/1/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Other,Computer Science And Information Systems,Started,3/11/2022,23,604,January,Thursday,5,2023,2001,Winter
15/9/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Saint Louis University,Information Systems,Team Allocated,3/11/2022,23,604,September,Friday,15,2023,2001,Fall
17/3/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Nigeria,Other,Electrical And Electronic Engineering,Started,3/11/2022,19,604,March,Friday,17,2023,2005,Spring
19/9/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Saint Louis University,Information Systems,Waitlisted,19/9/2023,25,0,September,Tuesday,19,2023,1999,Fall
21/2/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Nigeria,Other,Business And Management Studies,Started,3/11/2022,26,604,February,Tuesday,21,2023,1998,Winter
26/3/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Pakistan,Other,Public Health,Started,3/11/2022,26,604,March,Sunday,26,2023,1998,Spring
17/8/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Pakistan,Other,Electrical And Computer Engineering,Team Allocated,3/11/2022,24,604,August,Thursday,17,2023,2001,Summer
19/8/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Saint Louis University,Information Systems,Team Allocated,3/11/2022,25,604,August,Saturday,19,2023,1999,Summer
8/2/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Ghana,Other,Accounting And Finance,Team Allocated,3/11/2022,33,604,February,Thursday,8,2024,1991,Winter
11/5/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Zambia,Other,Other,Started,3/11/2022,23,604,May,Thursday,11,2023,2001,Spring
14/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Srm University,Data Science,Started,3/11/2022,22,604,June,Wednesday,14,2023,2002,Summer
15/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Ghana,Other,Statistics,Started,3/11/2022,25,604,June,Thursday,15,2023,1999,Summer
23/2/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Gitam University,Computer Science And Information Systems,Team Allocated,3/11/2022,24,604,February,Thursday,23,2023,2000,Winter
9/11/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Illinois Institute Of Technology,Biomedical Engineering,Team Allocated,3/11/2022,21,604,November,Thursday,9,2023,2003,Fall
17/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Dhanekula Institute Of Engineering And Technology,Electronics And Communication,Started,3/11/2022,23,604,June,Saturday,17,2023,2001,Summer
24/8/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Saint Louis University,Computer Information Systems,Team Allocated,3/11/2022,23,604,August,Thursday,24,2023,2001,Summer
25/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Egypt,Other,Other,Team Allocated,3/11/2022,25,604,July,Tuesday,25,2023,1999,Summer
14/3/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Other,Computer Science,Started,3/11/2022,19,604,March,Tuesday,14,2023,2005,Spring
16/5/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Other,Computer Science,Team Allocated,3/11/2022,23,604,May,Tuesday,16,2023,2001,Spring
5/1/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Other,Computer Science And Information Systems,Team Allocated,3/11/2022,18,604,January,Thursday,5,2023,2006,Winter
28/2/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Illinois Institute Of Technology,Computer Science,Started,3/11/2022,25,604,February,Tuesday,28,2023,1999,Winter
11/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Other,Other,Started,3/11/2022,20,604,June,Sunday,11,2023,2004,Summer
5/1/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Ghana,Other,Project Management,Started,3/11/2022,29,604,January,Thursday,5,2023,1995,Winter
18/1/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Computer Science And Engineering,Started,3/11/2022,26,604,January,Wednesday,18,2023,1998,Winter
9/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Data Science,Team Allocated,3/11/2022,28,604,July,Sunday,9,2023,1996,Summer
18/5/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Pakistan,Other,Medicine,Started,3/11/2022,20,604,May,Thursday,18,2023,2004,Spring
25/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Electrical And Electronic Engineering,Team Allocated,3/11/2022,23,604,July,Tuesday,25,2023,2001,Summer
24/1/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Nigeria,Other,Accounting And Finance,Team Allocated,3/11/2022,18,604,January,Wednesday,24,2024,2006,Winter
18/3/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Morocco,Other,Other,Started,3/11/2022,19,604,March,Saturday,18,2023,2005,Spring
20/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Saint Louis University,Computer Science And Information Systems,Team Allocated,3/11/2022,25,604,July,Thursday,20,2023,1999,Summer
27/12/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Information Technology,Waitlisted,27/12/2023,40,0,December,Wednesday,27,2023,1984,Winter
11/3/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Zambia,Saint Louis University,Other,Started,3/11/2022,20,604,March,Saturday,11,2023,2004,Spring
12/8/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Saint Louis University,Computer Information Systems,Team Allocated,3/11/2022,24,604,August,Saturday,12,2023,2000,Summer
6/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Ghana,Other,Business Administration,Started,3/11/2022,31,604,July,Thursday,6,2023,1993,Summer
11/1/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Saint Louis University,Computer Science,Team Allocated,3/11/2022,30,604,January,Thursday,11,2024,1994,Winter
8/8/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Saint Louis University,Information Systems,Team Allocated,3/11/2022,24,604,August,Tuesday,8,2023,2000,Summer
24/3/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Pakistan,Other,Mechanical Engineering,Started,3/11/2022,23,604,March,Friday,24,2023,2001,Spring
16/3/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Pakistan,Other,Software Engineering,Started,3/11/2022,23,604,March,Thursday,16,2023,2001,Spring
7/3/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Other,Biological Sciences,Started,3/11/2022,19,604,March,Tuesday,7,2023,2005,Spring
20/8/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Ethiopia,Other,Other,Team Allocated,3/11/2022,34,604,August,Sunday,20,2023,1990,Summer
13/3/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Computer Science,Started,3/11/2022,21,604,March,Monday,13,2023,2003,Spring
14/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Ghana,Other,Other,Started,3/11/2022,20,604,June,Wednesday,14,2023,2004,Summer
13/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Saint Louis University,Cyber Security,Team Allocated,3/11/2022,23,604,July,Thursday,13,2023,2001,Summer
17/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Other,Computer Science,Started,3/11/2022,23,604,June,Saturday,17,2023,2001,Summer
10/2/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Saint Louis University,Information Systems,Team Allocated,3/11/2022,24,604,February,Saturday,10,2024,2000,Winter
9/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Computer Science,Team Allocated,3/11/2022,23,604,July,Sunday,9,2023,2001,Summer
22/1/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Zimbabwe,Other,Medicine,Team Allocated,3/11/2022,19,604,January,Monday,22,2024,2005,Winter
19/5/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Other,Computer Science And Engineering,Started,3/11/2022,20,604,May,Friday,19,2023,2004,Spring
7/2/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Other,Data Analytics,Team Allocated,3/11/2022,24,604,February,Wednesday,7,2024,2001,Winter
12/4/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Other,Computer Engineering,Started,3/11/2022,18,604,April,Wednesday,12,2023,2006,Spring
27/3/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Computer Science And Engineering,Started,3/11/2022,21,604,March,Monday,27,2023,2003,Spring
13/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Nigeria,Other,Other,Started,3/11/2022,25,604,June,Tuesday,13,2023,1999,Summer
20/2/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Nigeria,Saint Louis University,Biomedical Engineering,Started,3/11/2022,20,604,February,Monday,20,2023,2005,Winter
11/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Nigeria,Other,Accounting And Finance,Started,3/11/2022,25,604,June,Sunday,11,2023,1999,Summer
22/8/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Saint Louis University,Information Systems,Team Allocated,3/11/2022,23,604,August,Tuesday,22,2023,2001,Summer
19/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Pakistan,Other,Other,Started,3/11/2022,24,604,June,Monday,19,2023,2000,Summer
21/2/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Nigeria,Other,Other,Started,3/11/2022,24,604,February,Tuesday,21,2023,2000,Winter
20/11/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Computer Science And Engineering,Team Allocated,3/11/2022,22,604,November,Monday,20,2023,2002,Fall
5/1/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Other,Project Management,Started,3/11/2022,35,604,January,Thursday,5,2023,1989,Winter
28/2/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Nepal,Other,Law And Legal Studies,Waitlisted,28/2/2024,27,0,February,Wednesday,28,2024,1997,Winter
28/1/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Other,Started,3/11/2022,21,604,January,Saturday,28,2023,2004,Winter
9/11/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Saint Louis University,Computer Information Systems,Team Allocated,3/11/2022,24,604,November,Thursday,9,2023,2000,Fall
7/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Zimbabwe,Other,Other,Started,3/11/2022,27,604,June,Wednesday,7,2023,1997,Summer
18/5/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Uganda,Other,Other,Started,3/11/2022,29,604,May,Thursday,18,2023,1995,Spring
30/1/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Saint Louis University,Data Analytics,Team Allocated,3/11/2022,22,604,January,Tuesday,30,2024,2002,Winter
18/10/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Ghana,Kwame Nkrumah University Of Science And Technology,Electrical And Electronic Engineering,Team Allocated,3/11/2022,21,604,October,Wednesday,18,2023,2003,Fall
13/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Other,Business Analytics,Team Allocated,3/11/2022,27,604,June,Tuesday,13,2023,1997,Summer
8/3/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Nigeria,Other,Electrical And Electronic Engineering,Started,3/11/2022,20,604,March,Wednesday,8,2023,2004,Spring
17/4/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Other,Public Health,Started,3/11/2022,30,604,April,Monday,17,2023,1994,Spring
10/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Other,Other,Started,3/11/2022,18,604,June,Saturday,10,2023,2006,Summer
5/1/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Saint Louis University,Artificial Intelligence And Machine Learning,Started,3/11/2022,30,604,January,Thursday,5,2023,1994,Winter
4/5/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Illinois Institute Of Technology,Electrical And Electronic Engineering,Started,3/11/2022,24,604,May,Thursday,4,2023,2000,Spring
15/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Nigeria,Other,Architecture,Started,3/11/2022,30,604,June,Thursday,15,2023,1994,Summer
27/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Illinois Institute Of Technology,Data Science,Withdraw,3/11/2022,27,604,July,Thursday,27,2023,1997,Summer
2/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Saint Louis University,Business Analytics,Waitlisted,2/6/2023,27,0,June,Friday,2,2023,1997,Summer
20/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Nigeria,University Of Ilorin,Agriculture And Forestry,Team Allocated,3/11/2022,27,604,July,Thursday,20,2023,1997,Summer
8/5/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Indonesia,Other,International Business Management,Started,3/11/2022,17,604,May,Monday,8,2023,2007,Spring
13/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Pakistan,Other,Other,Started,3/11/2022,27,604,June,Tuesday,13,2023,1998,Summer
10/8/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Nigeria,Other,Accounting And Finance,Team Allocated,3/11/2022,26,604,August,Thursday,10,2023,1998,Summer
16/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Other,Started,3/11/2022,29,604,June,Friday,16,2023,1995,Summer
16/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Computer Science And Information Systems,Team Allocated,3/11/2022,24,604,June,Friday,16,2023,2000,Summer
16/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Other,Marketing,Team Allocated,3/11/2022,21,604,July,Sunday,16,2023,2003,Summer
8/8/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Nigeria,Other,Other,Team Allocated,3/11/2022,20,604,August,Tuesday,8,2023,2004,Summer
13/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Pakistan,Other,Biochemistry,Started,3/11/2022,25,604,June,Tuesday,13,2023,1999,Summer
29/2/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Information Technology,Waitlisted,29/2/2024,22,0,February,Thursday,29,2024,2002,Winter
25/12/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Indonesia,Other,Accounting And Finance,Team Allocated,3/11/2022,24,604,December,Monday,25,2023,2000,Winter
8/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Cameroon,Other,Economics,Started,3/11/2022,41,604,June,Thursday,8,2023,1983,Summer
29/2/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Saint Louis University,Information Systems,Waitlisted,29/2/2024,39,0,February,Thursday,29,2024,1985,Winter
19/1/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Illinois Institute Of Technology,Information Technology And Management,Team Allocated,3/11/2022,22,604,January,Friday,19,2024,2002,Winter
16/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Nigeria,Other,Civil Engineering,Started,3/11/2022,25,604,June,Friday,16,2023,1999,Summer
16/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Pakistan,Other,Other,Started,3/11/2022,17,604,June,Friday,16,2023,2007,Summer
8/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Marketing,Team Allocated,3/11/2022,21,604,July,Saturday,8,2023,2003,Summer
2/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Saint Louis University,Computer Science,Team Allocated,3/11/2022,25,604,June,Friday,2,2023,2000,Summer
11/1/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Saint Louis University,Business Analytics,Team Allocated,3/11/2022,24,604,January,Wednesday,11,2023,2001,Winter
2/9/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Saint Louis University,Cyber Security,Team Allocated,3/11/2022,25,604,September,Saturday,2,2023,1999,Fall
19/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Ghana,Accra Technical University,Electrical Engineering,Team Allocated,3/11/2022,22,604,July,Wednesday,19,2023,2002,Summer
12/9/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Saint Louis University,Computer Science,Team Allocated,3/11/2022,25,604,September,Tuesday,12,2023,1999,Fall
15/5/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Computer Engineering,Started,3/11/2022,19,604,May,Monday,15,2023,2005,Spring
9/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Computer Science,Team Allocated,3/11/2022,24,604,July,Sunday,9,2023,2000,Summer
4/1/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Saint Louis University,Computer Science And Information Systems,Team Allocated,3/11/2022,29,604,January,Thursday,4,2024,1996,Winter
6/1/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Other,Computer Science,Started,3/11/2022,25,604,January,Friday,6,2023,1999,Winter
20/2/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Other,Economics,Team Allocated,3/11/2022,21,604,February,Tuesday,20,2024,2003,Winter
16/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Nigeria,University Of Lagos,Other,Started,3/11/2022,24,604,June,Friday,16,2023,2000,Summer
4/8/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Saint Louis University,Information Systems,Team Allocated,3/11/2022,26,604,August,Friday,4,2023,1998,Summer
5/1/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Other,Other,Started,3/11/2022,24,604,January,Thursday,5,2023,2000,Winter
7/12/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Saint Louis University,Data Analytics,Team Allocated,3/11/2022,26,604,December,Thursday,7,2023,1998,Winter
18/2/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Nigeria,Other,Other,Team Allocated,3/11/2022,34,604,February,Sunday,18,2024,1990,Winter
1/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Data Science,Started,3/11/2022,21,604,July,Saturday,1,2023,2003,Summer
17/2/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Ghana,Other,Electrical And Computer Engineering,Team Allocated,3/11/2022,23,604,February,Saturday,17,2024,2001,Winter
15/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Nigeria,Other,Public Health,Started,3/11/2022,37,604,June,Thursday,15,2023,1987,Summer
12/5/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Nigeria,Other,Other,Started,3/11/2022,43,604,May,Friday,12,2023,1981,Spring
31/3/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Pakistan,Other,Software Engineering,Started,3/11/2022,19,604,March,Friday,31,2023,2005,Spring
27/1/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Saint Louis University,Information Systems,Team Allocated,3/11/2022,24,604,January,Saturday,27,2024,2000,Winter
4/1/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Saint Louis University,Cyber Security,Team Allocated,3/11/2022,22,604,January,Thursday,4,2024,2002,Winter
31/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Pakistan,Other,Computer Science And Engineering,Team Allocated,3/11/2022,23,604,July,Monday,31,2023,2001,Summer
7/3/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Ghana,Saint Louis University,Computer Science,Team Allocated,3/11/2022,26,604,March,Thursday,7,2024,1998,Spring
24/8/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Other,Team Allocated,3/11/2022,22,604,August,Thursday,24,2023,2002,Summer
1/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Saint Louis University,Information Systems,Team Allocated,3/11/2022,26,604,June,Thursday,1,2023,1998,Summer
6/9/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Saint Louis University,Information Systems,Team Allocated,3/11/2022,30,604,September,Wednesday,6,2023,1994,Fall
7/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Nigeria,Other,Computer Science,Team Allocated,3/11/2022,30,604,July,Friday,7,2023,1994,Summer
26/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Saint Louis University,Computer Science,Team Allocated,3/11/2022,18,604,June,Monday,26,2023,2006,Summer
19/8/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Saint Louis University,Information Systems,Team Allocated,3/11/2022,24,604,August,Saturday,19,2023,2000,Summer
27/2/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,Nigeria,Saint Louis University,Cyber Security,Waitlisted,27/2/2024,35,0,February,Tuesday,27,2024,1989,Winter
2/3/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Saint Louis University,Information Systems,Waitlisted,2/3/2024,24,0,March,Saturday,2,2024,2000,Spring
